,,,Overall,Overall,Overall,Conference,Conference,Conference,,,,,,,,,,
Rk,Season,Conf,W,L,W-L%,W,L,W-L%,SRS,SOS,PTS,PTS,AP Pre,AP High,AP Final,NCAA Tournament,Seed,Coach(es)
1,2019-20,Big Ten,18,9,.667,9,7,.563,18.83,10.68,75.4,67.3,,4,,,,Juwan Howard (18-9)
2,2018-19,Big Ten,30,7,.811,15,5,.750,21.82,10.55,69.6,58.3,19,2,8,Lost Regional Semifinal,2,John Beilein (30-7)
3,2017-18,Big Ten,33,8,.805,13,5,.722,19.03,9.41,73.6,63.3,,7,7,Lost National Final,3,John Beilein (33-8)
4,2016-17,Big Ten,26,12,.684,10,8,.556,18.80,10.17,75.0,66.4,,23,23,Lost Regional Semifinal,7,John Beilein (26-12)
5,2015-16,Big Ten,23,13,.639,10,8,.556,13.75,7.92,73.8,67.4,25,24,,Lost First Round,11,John Beilein (23-13)
6,2014-15,Big Ten,16,16,.500,8,10,.444,9.56,9.59,64.7,64.0,24,17,,,,John Beilein (16-16)
7,2013-14,Big Ten,28,9,.757,15,3,.833,18.52,9.65,73.9,65.1,7,7,7,Lost Regional Final,2,John Beilein (28-9)
8,2012-13,Big Ten,31,8,.795,12,6,.667,21.28,10.05,75.2,63.3,5,1,10,Lost National Final,4,John Beilein (31-8)
9,2011-12,Big Ten,24,10,.706,13,5,.722,13.19,8.98,66.3,61.5,18,10,13,Lost Second Round,4,John Beilein (24-10)
10,2010-11,Big Ten,21,14,.600,9,9,.500,14.21,10.68,66.5,62.5,,,,Lost Third Round,8,John Beilein (21-14)
11,2009-10,Big Ten,15,17,.469,7,11,.389,10.04,9.37,64.3,61.6,15,15,,,,John Beilein (15-17)
12,2008-09,Big Ten,21,14,.600,9,9,.500,11.90,9.74,66.9,63.2,,23,,Lost Second Round,10,John Beilein (21-14)
13,2007-08,Big Ten,10,22,.313,5,13,.278,3.05,7.99,62.7,67.6,,,,,,John Beilein (10-22)
14,2006-07,Big Ten,22,13,.629,8,8,.500,10.59,6.79,64.3,60.5,,,,,,Tommy Amaker (22-13)
15,2005-06,Big Ten,22,11,.667,8,8,.500,12.19,7.04,71.7,66.6,,21,,,,Tommy Amaker (22-11)
16,2004-05,Big Ten,13,18,.419,4,12,.250,4.79,7.12,61.6,64.0,,,,,,Tommy Amaker (13-18)
17,2003-04,Big Ten,23,11,.676,8,8,.500,11.78,6.16,68.9,63.2,,,,,,Tommy Amaker (23-11)
18,2002-03,Big Ten,17,13,.567,10,6,.625,9.62,7.89,69.0,67.3,,,,,,Tommy Amaker (17-13)
19,2001-02,Big Ten,11,18,.379,5,11,.313,3.53,8.17,67.3,70.8,,,,,,Tommy Amaker (11-18)
20,2000-01,Big Ten,10,18,.357,4,12,.250,3.21,11.39,70.8,78.2,,,,,,Brian Ellerbe (10-18)
21,1999-00,Big Ten,15,14,.517,6,10,.375,5.27,9.27,75.5,79.5,,,,,,Brian Ellerbe (15-14)
